시군구,동반자유형,만족도,재방문의도,타인추천의도,성별,연령대
경기 고양시,친구/연인,만족,높음,높음,남,30대
강원 강릉시,친구/연인,만족,보통,높음,남,20대
경기 가평군,친구/연인,만족,높음,높음,여,20대
강원 동해시,가족,만족,높음,높음,여,40대
충남 아산시,가족,만족,높음,높음,여,60대
경기 과천시,가족,만족,높음,높음,여,30대
경기 용인시,가족,만족,높음,높음,남,40대
경기 가평군,친구/연인,매우 만족,높음,높음,남,20대
경북 울진군,가족,매우 만족,높음,높음,여,30대
강원 철원군,가족,만족,높음,높음,남,30대
세종특별자치시,(직장)동료,매우 만족,높음,높음,남,40대
강원 동해시,친구/연인,만족,높음,매우 높음,남,50대
경기 양평군,가족,만족,높음,높음,여,50대
강원 양양군,가족,만족,높음,높음,남,50대
강원 속초시,가족,만족,높음,높음,남,40대
강원 강릉시,친구/연인,만족,높음,높음,남,30대
경북 울진군,가족,만족,높음,높음,여,30대
경북 포항시,가족,만족,높음,높음,여,40대
경기 남양주시,친구/연인,만족,높음,높음,남,30대
경기 여주시,가족,만족,높음,높음,여,30대
제주 제주시,가족,매우 만족,높음,높음,남,40대
경기 양주시,친구/연인,만족,높음,높음,여,20대
강원 춘천시,친구/연인,만족,높음,높음,남,20대
경북 경주시,친구/연인,매우 만족,높음,높음,여,50대
경기 가평군,가족,만족,높음,높음,남,40대
제주 제주시,가족,매우 만족,높음,높음,여,50대
강원 춘천시,친구/연인,만족,높음,높음,여,30대
강원 춘천시,친구/연인,만족,높음,높음,남,30대
경기 가평군,가족,만족,높음,높음,남,30대
경기 양평군,친구/연인,매우 만족,매우 높음,높음,여,20대
충남 예산군,가족,매우 만족,높음,높음,여,30대
경기 고양시,가족,매우 만족,높음,높음,여,50대
강원 속초시,가족,매우 만족,높음,높음,여,40대
전남 강진군,가족,만족,높음,높음,남,40대
경북 경주시,친구/연인,매우 만족,매우 높음,높음,남,20대
강원 춘천시,친구/연인,매우 만족,매우 높음,높음,남,20대
경기 의정부시,친구/연인,매우 만족,높음,높음,여,20대
충남 태안군,친구/연인,매우 만족,높음,높음,여,50대
제주 제주시,친구/연인,매우 만족,높음,높음,남,50대
인천 중구,친구/연인,만족,높음,높음,여,15~19세
전남 신안군,가족,매우 만족,매우 높음,높음,여,40대
강원 강릉시,가족,매우 만족,높음,높음,여,30대
충남 보령시,친구/연인,만족,높음,높음,남,30대
제주 서귀포시,친구/연인,만족,높음,높음,남,20대
충북 단양군,친구/연인,만족,높음,높음,여,20대
강원 철원군,친구/연인,만족,높음,높음,여,50대
충남 부여군,가족,매우 만족,높음,높음,여,40대
강원 평창군,가족,매우 만족,높음,높음,남,40대
전북 부안군,친구/연인,만족,높음,높음,남,30대
전남 장흥군,가족,매우 만족,높음,높음,여,30대
대구 동구,가족,매우 만족,매우 높음,높음,남,50대
인천 남동구,친구/연인,만족,높음,높음,남,20대
경기 포천시,친구/연인,매우 만족,매우 높음,높음,여,20대
제주 서귀포시,가족,매우 만족,높음,높음,여,50대
경기 양평군,친구/연인,만족,높음,높음,남,30대
경기 가평군,가족,만족,높음,높음,여,40대
제주 서귀포시,가족,매우 만족,매우 높음,높음,남,40대
강원 춘천시,친구/연인,만족,높음,높음,여,20대
충남 태안군,친구/연인,만족,높음,높음,여,60대
강원 홍천군,친구/연인,매우 만족,높음,높음,남,20대
경기 양평군,가족,만족,높음,높음,남,40대
제주 제주시,가족,매우 만족,매우 높음,높음,여,40대
경기 안산시,친구/연인,만족,높음,높음,여,20대
경기 화성시,친구/연인,매우 만족,높음,높음,여,15~19세
충남 보령시,친구/연인,매우 만족,매우 높음,높음,남,20대
전북 군산시,친구/연인,만족,높음,높음,남,20대
경기 포천시,친구/연인,만족,높음,높음,남,30대
전남 무안군,가족,만족,높음,높음,여,30대
충남 태안군,친구/연인,매우 만족,높음,높음,여,20대
강원 강릉시,가족,만족,높음,높음,여,30대
강원 강릉시,가족,만족,높음,높음,여,20대
제주 서귀포시,친구/연인,만족,높음,높음,여,40대
강원 속초시,가족,만족,높음,높음,남,50대
전남 나주시,가족,만족,높음,높음,여,30대
경기 양평군,가족,만족,높음,높음,여,60대
경기 성남시,가족,만족,높음,높음,남,60대
강원 홍천군,가족,만족,높음,높음,여,50대
경북 경주시,가족,만족,높음,높음,여,40대
제주 서귀포시,가족,매우 만족,매우 높음,높음,여,50대
강원 속초시,가족,만족,매우 높음,높음,남,30대
강원 강릉시,친구/연인,매우 만족,매우 높음,높음,남,20대
충남 보령시,가족,매우 만족,높음,높음,여,70세 이상
제주 서귀포시,가족,매우 만족,높음,높음,남,40대
전남 진도군,가족,매우 만족,높음,높음,여,20대
경기 포천시,친구/연인,만족,높음,높음,여,30대
제주 서귀포시,가족,만족,높음,높음,여,50대
경기 고양시,친구/연인,만족,높음,높음,남,20대
경남 남해군,가족,매우 만족,높음,높음,남,40대
강원 강릉시,친구/연인,매우 만족,높음,높음,여,20대
경기 고양시,친구/연인,만족,높음,높음,여,15~19세
강원 춘천시,친구/연인,만족,높음,높음,남,20대
제주 서귀포시,친구/연인,매우 만족,매우 높음,높음,여,70세 이상
인천 옹진군,친구/연인,매우 만족,높음,높음,남,30대
경북 울릉군,친구/연인,매우 만족,보통,보통,여,60대
전북 군산시,친구/연인,만족,매우 높음,높음,여,20대
경기 가평군,친구/연인,만족,높음,높음,여,20대
경기 가평군,가족,만족,높음,높음,남,60대
강원 고성군,가족,만족,높음,높음,남,40대
경기 용인시,친구/연인,매우 만족,높음,높음,여,30대
강원 평창군,가족,매우 만족,높음,높음,남,40대
강원 강릉시,친구/연인,매우 만족,높음,높음,남,30대
제주 서귀포시,가족,매우 만족,높음,높음,남,50대
강원 춘천시,가족,만족,높음,높음,여,40대
경기 양평군,가족,만족,높음,높음,남,50대
인천 중구,친구/연인,만족,높음,높음,남,30대
제주 제주시,가족,만족,높음,높음,여,50대
강원 춘천시,친구/연인,만족,높음,높음,여,50대
강원 춘천시,가족,만족,높음,높음,남,70세 이상
경기 가평군,가족,보통,높음,높음,여,50대
강원 원주시,가족,만족,높음,보통,여,60대
경기 양평군,가족,만족,높음,높음,남,40대
전북 순창군,가족,만족,높음,높음,남,70세 이상
강원 동해시,친구/연인,만족,높음,높음,남,20대
강원 속초시,가족,매우 만족,높음,높음,여,30대
제주 제주시,친구/연인,매우 만족,매우 높음,높음,여,40대
인천 옹진군,친구/연인,매우 만족,높음,높음,남,20대
강원 횡성군,가족,만족,매우 높음,높음,남,40대
강원 철원군,가족,만족,높음,높음,여,30대
전북 군산시,친구/연인,만족,매우 높음,높음,여,40대
경기 양평군,친구/연인,만족,높음,높음,여,40대
강원 속초시,가족,만족,높음,높음,여,50대
경기 양평군,가족,만족,높음,높음,여,15~19세
경기 용인시,친구/연인,만족,보통,높음,남,20대
세종특별자치시,가족,만족,높음,높음,남,70세 이상
전북 정읍시,가족,만족,높음,높음,여,30대
경기 가평군,가족,만족,높음,높음,여,70세 이상
제주 제주시,친구/연인,만족,높음,높음,여,20대
제주 서귀포시,가족,만족,높음,높음,여,20대
충북 제천시,친구/연인,만족,높음,높음,남,20대
경기 가평군,친구/연인,만족,높음,높음,여,40대
경기 광주시,가족,만족,높음,보통,남,30대
강원 속초시,가족,만족,높음,높음,남,40대
강원 속초시,가족,만족,높음,높음,여,50대
경기 양평군,친구/연인,만족,높음,높음,여,20대
인천 강화군,가족,만족,높음,높음,남,30대
대전 유성구,가족,만족,높음,높음,남,70세 이상
경기 양평군,가족,만족,높음,높음,여,70세 이상
제주 서귀포시,친구/연인,만족,높음,높음,남,20대
경기 성남시,친구/연인,만족,높음,높음,여,50대
제주 제주시,가족,만족,높음,높음,여,30대
강원 속초시,친구/연인,만족,높음,높음,남,20대
충북 충주시,가족,만족,높음,높음,남,30대
인천 강화군,가족,만족,높음,높음,여,40대
강원 홍천군,가족,만족,보통,높음,남,15~19세
인천 강화군,친구/연인,만족,높음,높음,남,30대
제주 서귀포시,가족,만족,높음,보통,여,30대
제주 제주시,친구/연인,만족,높음,높음,여,40대
강원 강릉시,가족,만족,높음,높음,남,40대
인천 중구,가족,만족,높음,높음,여,40대
강원 횡성군,친척,만족,높음,높음,남,50대
충남 태안군,친구/연인,만족,높음,높음,여,30대
강원 삼척시,친구/연인,만족,높음,높음,남,20대
경기 양평군,가족,만족,높음,높음,여,30대
충남 당진시,가족,만족,높음,높음,남,60대
충북 진천군,가족,만족,높음,높음,여,40대
제주 서귀포시,친구/연인,만족,높음,보통,남,20대
대구 동구,가족,만족,높음,높음,여,50대
경기 성남시,친구/연인,만족,높음,높음,남,50대
경기 수원시,친구/연인,만족,높음,보통,여,20대
경북 영주시,가족,만족,높음,보통,여,50대
경기 양평군,가족,만족,높음,높음,여,15~19세
강원 원주시,친구/연인,만족,높음,높음,여,50대
경기 하남시,친구/연인,만족,높음,높음,남,20대
제주 제주시,가족,만족,높음,높음,여,70세 이상
강원 홍천군,가족,만족,높음,높음,여,50대
강원 춘천시,가족,만족,높음,높음,여,30대
부산 해운대구,친구/연인,만족,높음,높음,남,60대
강원 속초시,친구/연인,만족,높음,높음,남,20대
경기 가평군,가족,만족,높음,보통,남,40대
경기 파주시,가족,만족,높음,높음,여,50대
충남 태안군,가족,만족,높음,높음,여,30대
강원 속초시,친구/연인,만족,높음,높음,남,30대
경기 성남시,가족,만족,높음,높음,남,50대
제주 제주시,가족,만족,높음,높음,여,70세 이상
강원 원주시,가족,만족,높음,높음,여,50대
경기 남양주시,가족,만족,높음,높음,남,30대
세종특별자치시,가족,만족,높음,높음,남,60대
제주 제주시,가족,만족,보통,높음,남,40대
경기 양평군,가족,만족,높음,높음,여,30대
경남 고성군,친구/연인,만족,보통,높음,여,60대
경기 연천군,가족,만족,높음,보통,남,30대
제주 서귀포시,가족,만족,높음,높음,여,50대
경기 하남시,가족,만족,높음,높음,여,40대
강원 속초시,가족,만족,보통,높음,여,60대
광주 남구,가족,만족,높음,높음,남,60대
강원 홍천군,친구/연인,만족,높음,높음,여,20대
인천 중구,가족,만족,높음,높음,여,50대
강원 양양군,가족,만족,높음,높음,여,60대
강원 춘천시,친구/연인,만족,높음,높음,여,30대
경기 용인시,친구/연인,만족,높음,높음,여,20대
경기 포천시,가족,만족,높음,매우 높음,여,60대
제주 제주시,친구/연인,만족,높음,높음,남,20대
경기 양주시,가족,만족,높음,높음,남,40대
강원 화천군,친목 모임,만족,높음,높음,남,50대
경기 연천군,친구/연인,만족,높음,높음,여,30대
대구 달성군,친구/연인,만족,높음,높음,남,30대
강원 속초시,친구/연인,만족,높음,높음,남,30대
충남 서산시,가족,만족,높음,높음,여,50대
강원 속초시,친구/연인,만족,높음,높음,여,30대
인천 강화군,친구/연인,만족,높음,높음,남,20대
제주 제주시,가족,매우 만족,높음,높음,남,50대
경기 파주시,친구/연인,매우 만족,매우 높음,높음,남,20대
제주 제주시,가족,매우 만족,높음,높음,여,60대
경기 고양시,가족,만족,높음,높음,남,30대
강원 평창군,가족,매우 만족,높음,높음,여,40대
경기 화성시,친구/연인,매우 만족,높음,높음,남,20대
경기 가평군,친구/연인,만족,높음,높음,여,20대
경기 포천시,가족,만족,높음,높음,여,70세 이상
제주 제주시,친구/연인,만족,높음,높음,남,40대
강원 속초시,가족,만족,높음,높음,여,40대
강원 양양군,가족,만족,높음,높음,남,40대
경기 남양주시,친구/연인,만족,높음,높음,여,20대
부산 해운대구,가족,매우 만족,높음,높음,남,40대
제주 서귀포시,친구/연인,매우 만족,높음,높음,여,50대
강원 속초시,가족,만족,높음,높음,남,60대
전남 여수시,가족,매우 만족,매우 높음,높음,여,30대
제주 제주시,가족,만족,높음,높음,여,30대
강원 양양군,친구/연인,만족,높음,높음,남,30대
경기 양평군,친구/연인,만족,높음,높음,여,20대
경기 양평군,친구/연인,만족,높음,높음,남,70세 이상
전남 순천시,가족,만족,높음,높음,남,20대
강원 강릉시,가족,만족,높음,높음,여,40대
경기 용인시,친구/연인,만족,높음,높음,여,30대
인천 중구,친구/연인,만족,높음,높음,남,30대
인천 강화군,가족,만족,높음,높음,남,40대
경기 용인시,가족,만족,높음,높음,여,60대
강원 원주시,가족,만족,높음,높음,여,40대
제주 서귀포시,친구/연인,만족,높음,높음,여,20대
경기 이천시,친구/연인,만족,높음,높음,여,20대
강원 삼척시,친구/연인,매우 만족,매우 높음,높음,여,60대
인천 강화군,친구/연인,매우 만족,높음,높음,남,40대
전북 고창군,친구/연인,매우 만족,높음,높음,여,40대
충남 서천군,가족,만족,높음,높음,남,15~19세
강원 횡성군,가족,만족,높음,높음,남,30대
경북 울진군,가족,만족,높음,높음,남,40대
부산 서구,가족,매우 만족,높음,높음,여,20대
제주 제주시,친구/연인,매우 만족,매우 높음,높음,여,60대
전남 순천시,가족,만족,높음,높음,여,30대
강원 강릉시,가족,만족,높음,높음,남,40대
경기 가평군,친구/연인,만족,높음,높음,남,20대
전남 여수시,가족,만족,매우 높음,높음,남,40대
인천 중구,친구/연인,매우 만족,높음,높음,남,20대
강원 삼척시,친구/연인,만족,높음,높음,여,20대
제주 제주시,가족,매우 만족,높음,높음,여,50대
경북 경주시,가족,만족,높음,높음,여,40대
인천 강화군,가족,만족,높음,높음,여,30대
제주 서귀포시,친구/연인,매우 만족,높음,높음,여,60대
강원 속초시,가족,매우 만족,높음,높음,여,50대
강원 화천군,가족,만족,높음,높음,남,60대
강원 삼척시,친구/연인,만족,매우 높음,높음,여,50대
충남 태안군,친구/연인,매우 만족,높음,높음,여,40대
강원 삼척시,친구/연인,매우 만족,매우 높음,높음,여,60대
강원 춘천시,친구/연인,매우 만족,높음,높음,여,50대
강원 원주시,친구/연인,매우 만족,높음,높음,여,20대
경남 통영시,가족,만족,높음,높음,여,60대
전남 고흥군,가족,매우 만족,높음,높음,남,40대
제주 서귀포시,가족,만족,높음,높음,여,50대
부산 해운대구,친구/연인,매우 만족,높음,높음,남,20대
전북 전주시,친구/연인,매우 만족,매우 높음,높음,여,15~19세
경기 남양주시,가족,만족,높음,높음,여,40대
경기 양평군,가족,만족,높음,높음,남,30대
강원 홍천군,친구/연인,만족,높음,높음,여,50대
경기 남양주시,가족,만족,높음,높음,여,60대
전남 담양군,가족,만족,높음,높음,여,60대
강원 홍천군,가족,만족,높음,높음,여,40대
경기 양주시,가족,만족,높음,높음,남,50대
경기 양평군,가족,만족,높음,높음,여,70세 이상
강원 속초시,친구/연인,매우 만족,높음,높음,여,20대
경기 파주시,친구/연인,만족,높음,높음,남,20대
제주 제주시,가족,만족,높음,높음,남,70세 이상
제주 제주시,친구/연인,만족,높음,높음,남,20대
강원 동해시,가족,매우 만족,높음,높음,남,30대
제주 서귀포시,가족,매우 만족,높음,높음,남,40대
경남 남해군,친구/연인,만족,높음,높음,여,20대
부산 해운대구,가족,만족,높음,높음,여,30대
인천 강화군,친목 모임,만족,높음,높음,여,60대
부산 서구,친구/연인,매우 만족,높음,높음,남,20대
제주 제주시,가족,매우 만족,높음,높음,남,60대
강원 강릉시,친구/연인,만족,높음,높음,여,20대
강원 속초시,친구/연인,만족,높음,높음,여,70세 이상
충북 충주시,친구/연인,만족,높음,높음,여,30대
강원 속초시,친구/연인,만족,높음,높음,여,50대
경북 안동시,가족,만족,높음,높음,남,30대
경기 광명시,친구/연인,만족,높음,높음,여,20대
강원 양양군,친구/연인,만족,높음,높음,남,20대
충남 청양군,가족,만족,높음,높음,여,60대
경기 양평군,친구/연인,만족,높음,높음,여,30대
인천 중구,가족,만족,높음,높음,여,20대
경기 가평군,친구/연인,만족,높음,높음,여,40대
강원 속초시,친구/연인,만족,높음,높음,남,30대
전북 무주군,친목 모임,만족,높음,높음,여,70세 이상
강원 양양군,친구/연인,만족,높음,높음,여,30대
경기 포천시,친구/연인,만족,매우 높음,매우 높음,여,20대
강원 양양군,가족,매우 만족,보통,보통,남,50대
강원 삼척시,가족,만족,높음,높음,남,60대
강원 춘천시,가족,만족,높음,높음,남,60대
제주 서귀포시,친구/연인,만족,높음,높음,남,30대
강원 홍천군,친구/연인,만족,높음,높음,여,30대
경기 포천시,친구/연인,만족,높음,높음,남,20대
강원 속초시,친구/연인,만족,높음,높음,여,20대
경기 남양주시,가족,만족,높음,높음,여,30대
경기 양평군,친구/연인,만족,높음,높음,여,20대
인천 강화군,친구/연인,만족,높음,높음,남,40대
경기 화성시,친구/연인,만족,높음,높음,남,30대
부산 해운대구,친구/연인,만족,높음,높음,여,20대
경남 밀양시,가족,만족,높음,높음,남,40대
경북 경주시,친구/연인,만족,높음,매우 높음,남,20대
대구 수성구,친구/연인,만족,높음,보통,여,30대
강원 양양군,친구/연인,만족,높음,높음,남,20대
강원 속초시,가족,매우 만족,높음,높음,여,60대
제주 제주시,친구/연인,매우 만족,매우 높음,매우 높음,여,30대
경기 포천시,가족,만족,높음,높음,여,40대
강원 강릉시,친구/연인,만족,높음,높음,여,20대
인천 남동구,가족,만족,높음,높음,여,20대
경기 포천시,가족,만족,높음,높음,여,40대
경기 양평군,친구/연인,만족,높음,높음,남,40대
제주 제주시,가족,매우 만족,매우 높음,높음,여,40대
강원 속초시,친구/연인,만족,높음,높음,남,30대
경기 광주시,가족,매우 만족,매우 높음,높음,여,30대
강원 동해시,가족,만족,높음,높음,남,50대
경기 시흥시,친구/연인,만족,높음,높음,여,50대
충남 태안군,가족,보통,보통,보통,여,50대
경기 포천시,가족,만족,높음,높음,여,40대
강원 속초시,친구/연인,만족,높음,높음,남,20대
인천 강화군,가족,만족,매우 높음,높음,남,50대
경기 과천시,가족,만족,높음,높음,여,30대
경기 가평군,친구/연인,보통,보통,보통,여,50대
경북 경주시,친구/연인,만족,높음,높음,남,30대
충남 홍성군,가족,만족,높음,높음,남,50대
강원 삼척시,친구/연인,만족,높음,높음,남,20대
강원 춘천시,친구/연인,만족,높음,높음,남,20대
부산 수영구,친구/연인,만족,높음,높음,여,30대
대전 서구,친구/연인,만족,높음,높음,여,30대
경기 포천시,친구/연인,만족,높음,높음,남,60대
경기 가평군,친구/연인,만족,높음,높음,남,20대
경기 화성시,가족,만족,높음,높음,남,40대
제주 서귀포시,친구/연인,만족,높음,높음,여,40대
경기 과천시,친구/연인,만족,높음,높음,여,15~19세
충남 당진시,가족,만족,높음,높음,남,50대
경기 이천시,친구/연인,만족,높음,높음,여,20대
경기 포천시,친구/연인,만족,높음,높음,여,60대
경기 가평군,친구/연인,만족,높음,높음,남,40대
경기 파주시,친구/연인,만족,높음,높음,남,20대
경기 가평군,가족,만족,높음,높음,남,40대
경기 평택시,가족,만족,높음,높음,여,50대
경기 용인시,친구/연인,만족,높음,높음,여,20대
경기 가평군,가족,만족,높음,높음,여,30대
경기 가평군,가족,만족,높음,높음,여,40대
강원 강릉시,친구/연인,만족,높음,높음,남,20대
경남 창원시,친구/연인,만족,높음,높음,여,20대
강원 양양군,친구/연인,만족,높음,높음,남,30대
강원 양양군,가족,만족,높음,높음,여,50대
강원 강릉시,가족,만족,높음,높음,여,40대
강원 인제군,가족,만족,높음,높음,남,40대
강원 춘천시,가족,만족,높음,높음,여,40대
경기 하남시,친구/연인,만족,높음,높음,여,30대
강원 강릉시,친구/연인,만족,높음,높음,남,20대
강원 영월군,가족,만족,높음,높음,남,15~19세
경기 가평군,가족,만족,높음,높음,여,40대
전남 여수시,친구/연인,만족,높음,높음,남,50대
경기 용인시,친구/연인,만족,높음,높음,남,20대
경기 가평군,가족,만족,높음,높음,여,70세 이상
경기 가평군,친구/연인,만족,높음,높음,여,20대
경기 양평군,친구/연인,만족,높음,높음,여,30대
충남 보령시,가족,만족,높음,높음,여,40대
충남 예산군,가족,만족,높음,높음,남,50대
경기 가평군,가족,만족,높음,높음,여,30대
경기 성남시,가족,만족,높음,높음,여,50대
경기 여주시,친구/연인,만족,높음,높음,남,40대
경기 과천시,친구/연인,만족,높음,높음,여,60대
경기 양평군,친구/연인,만족,높음,높음,남,20대
충남 예산군,가족,만족,높음,높음,여,40대
강원 강릉시,친구/연인,만족,높음,높음,여,50대
경기 광주시,친구/연인,만족,높음,높음,여,60대
경기 남양주시,친구/연인,만족,높음,높음,여,40대
경기 과천시,친구/연인,만족,높음,높음,여,20대
경기 양평군,친구/연인,만족,높음,높음,남,20대
대전 서구,가족,만족,높음,높음,남,30대
충남 예산군,친구/연인,만족,높음,높음,남,40대
경기 양평군,친구/연인,만족,높음,높음,남,60대
경기 포천시,친구/연인,만족,높음,높음,여,30대
인천 강화군,친구/연인,만족,높음,높음,남,50대
인천 중구,친구/연인,만족,높음,높음,여,20대
충남 서산시,친구/연인,만족,높음,높음,남,60대
경기 남양주시,친구/연인,만족,높음,높음,여,60대
강원 춘천시,친구/연인,만족,높음,높음,여,60대
경기 남양주시,가족,만족,높음,높음,남,30대
경기 포천시,친구/연인,만족,높음,높음,여,30대
경기 포천시,친구/연인,만족,높음,높음,여,20대
경기 수원시,친구/연인,만족,높음,높음,남,20대
경기 포천시,친구/연인,만족,높음,높음,남,50대
경기 광주시,가족,만족,높음,높음,남,40대
경기 가평군,친구/연인,만족,높음,높음,여,70세 이상
경기 의정부시,가족,만족,높음,높음,여,60대
경기 포천시,친구/연인,만족,높음,높음,여,40대
경기 포천시,가족,만족,높음,높음,여,30대
경기 양평군,친구/연인,만족,높음,높음,여,20대
경기 가평군,가족,만족,높음,높음,여,30대
경기 안성시,친구/연인,만족,높음,높음,남,50대
경기 포천시,가족,만족,높음,높음,남,40대
경기 양평군,가족,만족,높음,높음,남,60대
강원 춘천시,친구/연인,만족,높음,높음,여,30대
강원 춘천시,친구/연인,만족,높음,높음,남,20대
경기 가평군,친구/연인,만족,높음,높음,여,70세 이상
강원 춘천시,가족,만족,높음,높음,여,50대
경기 양평군,가족,만족,높음,높음,여,30대
경기 성남시,친구/연인,만족,높음,높음,남,50대
경기 남양주시,친구/연인,만족,높음,높음,여,50대
경기 안성시,가족,만족,높음,높음,여,40대
경기 과천시,친구/연인,만족,높음,높음,남,20대
충북 제천시,친구/연인,만족,높음,높음,여,20대
강원 춘천시,가족,만족,높음,높음,여,70세 이상
경기 가평군,친구/연인,만족,높음,높음,남,30대
제주 제주시,가족,만족,높음,높음,여,40대
강원 속초시,가족,만족,높음,높음,여,40대
강원 동해시,친구/연인,만족,높음,높음,여,20대
경기 군포시,친구/연인,만족,높음,높음,남,40대
경기 과천시,친구/연인,만족,높음,높음,남,20대
강원 강릉시,가족,만족,높음,높음,여,30대
제주 제주시,친구/연인,만족,높음,높음,여,20대
경북 경주시,친구/연인,만족,높음,높음,여,20대
경기 가평군,친구/연인,만족,높음,높음,여,40대
경기 남양주시,가족,만족,높음,높음,여,30대
경기 가평군,친구/연인,만족,높음,높음,여,50대
경기 연천군,친구/연인,만족,높음,높음,남,30대
제주 서귀포시,친목 모임,만족,높음,높음,여,60대
인천 강화군,친구/연인,만족,높음,높음,남,40대
경기 양주시,가족,만족,높음,높음,남,70세 이상
제주 서귀포시,가족,만족,높음,높음,여,60대
대전 서구,친구/연인,만족,높음,높음,여,30대
경기 여주시,가족,만족,높음,보통,여,70세 이상
경기 고양시,가족,만족,높음,높음,남,30대
대전 중구,가족,만족,높음,높음,남,60대
경남 진주시,가족,만족,높음,보통,남,40대
제주 서귀포시,가족,만족,높음,높음,여,50대
강원 춘천시,가족,만족,높음,높음,남,50대
인천 중구,가족,만족,높음,높음,여,40대
제주 서귀포시,가족,만족,높음,높음,여,60대
경기 남양주시,가족,만족,높음,높음,남,60대
대구 달서구,가족,만족,높음,높음,남,50대
경기 양주시,가족,만족,높음,높음,여,70세 이상
경기 고양시,가족,만족,높음,높음,여,70세 이상
경기 양주시,가족,만족,높음,높음,남,40대
대구 달서구,가족,만족,높음,높음,여,40대
강원 강릉시,친구/연인,만족,높음,높음,여,20대
경기 가평군,친구/연인,만족,높음,높음,여,60대
인천 중구,친구/연인,만족,높음,높음,여,40대
경기 가평군,가족,만족,보통,보통,남,30대
경기 가평군,친구/연인,만족,높음,높음,여,30대
경기 남양주시,가족,만족,높음,높음,여,50대
강원 강릉시,친구/연인,만족,높음,높음,남,40대
강원 홍천군,가족,만족,높음,높음,여,60대
경북 경주시,가족,만족,높음,높음,남,60대
인천 옹진군,가족,만족,높음,높음,남,70세 이상
강원 강릉시,친구/연인,만족,높음,높음,여,20대
경기 연천군,친구/연인,만족,높음,높음,여,20대
